epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,488.86,0.79888,0.82543,1.14973,0.97965,1,0.995,0.91706,0.50011,0.73535,0.74456,0.0003665,0.0003665,0.0003665
68,497.877,0.76999,0.83227,1.12952,0.97494,1,0.995,0.92882,0.52611,0.72155,0.77837,0.00034175,0.00034175,0.00034175
69,517.764,0.73968,0.81136,1.09795,0.97494,1,0.995,0.92882,0.52611,0.72155,0.77837,0.000317,0.000317,0.000317
70,547.037,0.77895,0.80362,1.13195,0.97554,1,0.995,0.90956,0.53788,0.68905,0.80351,0.00029225,0.00029225,0.00029225
71,555.002,0.63118,1.18931,1.0766,0.98335,1,0.995,0.90906,0.53265,0.65843,0.7932,0.0002675,0.0002675,0.0002675
72,575.509,0.6324,1.21248,1.14071,0.98848,1,0.995,0.90133,0.52258,0.64885,0.76463,0.00024275,0.00024275,0.00024275
73,583.056,0.53215,1.09036,1.0349,0.98848,1,0.995,0.90133,0.52258,0.64885,0.76463,0.000218,0.000218,0.000218
74,601.492,0.6097,1.18882,1.194,0.99319,1,0.995,0.90095,0.49163,0.6464,0.73509,0.00019325,0.00019325,0.00019325
75,608.709,0.52515,1.06751,1.08619,0.99414,1,0.995,0.89087,0.44917,0.66906,0.70578,0.0001685,0.0001685,0.0001685
76,616.222,0.49447,0.91852,1.07323,0.99411,1,0.995,0.89529,0.42185,0.68087,0.6946,0.00014375,0.00014375,0.00014375
77,644.891,0.47755,0.83649,1.01648,0.99411,1,0.995,0.89529,0.42185,0.68087,0.6946,0.000119,0.000119,0.000119
78,662.45,0.51721,0.8552,1.04887,0.99364,1,0.995,0.92197,0.42043,0.69139,0.69989,9.425e-05,9.425e-05,9.425e-05
79,669.963,0.53343,0.92885,1.18114,0.99264,1,0.995,0.92941,0.42378,0.70883,0.70453,6.95e-05,6.95e-05,6.95e-05
80,682.683,0.47658,0.83286,0.99549,0.99182,1,0.995,0.93048,0.42953,0.71548,0.70771,4.475e-05,4.475e-05,4.475e-05
