epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,107.902,1.23856,1.68746,1.45482,0.87697,0.9,0.932,0.55116,1.10799,1.94153,1.27719,0.000688083,0.000688083,0.000688083
15,114.627,1.33628,1.64493,1.51638,0.96536,0.69673,0.94727,0.51714,1.17354,1.91732,1.38554,0.00072754,0.00072754,0.00072754
16,121.455,1.10831,1.49514,1.39775,0.89038,0.8,0.94958,0.45899,1.30778,1.97129,1.54179,0.000765512,0.000765512,0.000765512
17,128.312,1.31211,1.62448,1.55385,0.86824,0.875,0.9194,0.53178,1.21405,1.72254,1.57463,0.000802,0.000802,0.000802
18,134.947,1.28428,1.39421,1.54276,0.85719,0.8,0.90332,0.46696,1.22376,2.00704,1.51396,0.000837003,0.000837003,0.000837003
19,141.646,1.09401,1.45135,1.39895,0.74263,0.85,0.89396,0.4463,1.27059,3.23622,1.59917,0.00087052,0.00087052,0.00087052
20,148.345,1.14741,1.37993,1.45846,0.66406,0.625,0.66765,0.2954,1.45353,3.01409,1.89874,0.000902552,0.000902552,0.000902552
21,155.038,1.15828,1.37134,1.44411,0.4969,0.575,0.54786,0.21899,1.4767,2.41745,1.80533,0.0009331,0.0009331,0.0009331
22,161.738,1.22447,1.48527,1.42551,0.4649,0.65165,0.47659,0.16794,1.36174,2.47458,1.68354,0.000962162,0.000962162,0.000962162
23,168.598,1.16201,1.46547,1.4734,0.45742,0.65342,0.60038,0.26333,1.38414,2.13428,1.61413,0.00098974,0.00098974,0.00098974
24,175.232,1.15174,1.42533,1.41687,0.61544,0.75,0.75212,0.3684,1.48283,1.93237,1.59697,0.00101583,0.00101583,0.00101583
25,181.927,1.06063,1.23277,1.35983,0.66258,0.575,0.64095,0.32633,1.62391,2.21944,1.97544,0.00104044,0.00104044,0.00104044
26,188.609,1.04404,1.21331,1.36875,0.64349,0.55,0.63519,0.25412,1.71845,2.36823,1.99013,0.00106356,0.00106356,0.00106356
27,196.69,1.06642,1.23592,1.32884,0.31349,0.25,0.25317,0.07752,1.82628,2.70174,2.13123,0.0010852,0.0010852,0.0010852
28,203.823,1.00008,1.20509,1.30454,0.54462,0.5,0.47074,0.16742,1.64042,2.38622,1.94616,0.00110535,0.00110535,0.00110535
29,210.572,1.01994,1.13979,1.31957,0.54462,0.5,0.47074,0.16742,1.64042,2.38622,1.94616,0.00112402,0.00112402,0.00112402
30,217.333,1.07761,1.15183,1.33133,0.80829,0.575,0.67726,0.32402,1.58336,2.0693,1.86835,0.0011412,0.0011412,0.0011412
31,224.115,1.05515,1.2277,1.33494,0.70174,0.9412,0.80926,0.35092,1.59359,1.78755,1.96233,0.0011569,0.0011569,0.0011569
32,230.787,0.98072,1.17419,1.26101,0.922,0.775,0.92302,0.37176,1.68874,1.69769,2.06406,0.00117111,0.00117111,0.00117111
33,237.282,1.06877,1.19525,1.34863,0.922,0.775,0.92302,0.37176,1.68874,1.69769,2.06406,0.00118384,0.00118384,0.00118384
34,243.937,1.01391,1.03096,1.30066,0.78244,1,0.93193,0.51668,1.41942,1.80999,1.90601,0.00118325,0.00118325,0.00118325
35,250.865,1.11223,1.16789,1.36916,0.80855,1,0.96745,0.58843,1.43789,1.72304,1.9832,0.0011585,0.0011585,0.0011585
36,257.94,1.00067,1.14015,1.29801,0.87515,1,0.98234,0.57536,1.47397,1.32486,1.96886,0.00113375,0.00113375,0.00113375
37,264.735,0.92977,1.0434,1.22935,0.87515,1,0.98234,0.57536,1.47397,1.32486,1.96886,0.001109,0.001109,0.001109
38,271.385,0.93781,1.0452,1.24257,0.82659,1,0.95927,0.57447,1.42401,1.21997,1.80464,0.00108425,0.00108425,0.00108425
39,278.175,0.98601,1.0134,1.29128,0.83267,0.99533,0.93378,0.69601,1.1026,1.07935,1.37275,0.0010595,0.0010595,0.0010595
40,284.978,0.93,1.07842,1.24626,0.88692,0.975,0.98068,0.74845,1.08551,1.25296,1.3138,0.00103475,0.00103475,0.00103475
41,291.797,0.91977,0.96385,1.20006,0.88692,0.975,0.98068,0.74845,1.08551,1.25296,1.3138,0.00101,0.00101,0.00101
42,298.425,0.88051,0.92181,1.18231,0.9253,1,0.98786,0.73249,1.06762,1.42626,1.31984,0.00098525,0.00098525,0.00098525
43,305.123,0.78135,0.86186,1.16081,0.9549,1,0.98841,0.70657,1.08986,1.43139,1.31264,0.0009605,0.0009605,0.0009605
44,311.834,0.8823,1.08334,1.25323,0.9388,0.975,0.97964,0.71971,1.08836,1.46722,1.28548,0.00093575,0.00093575,0.00093575
45,318.516,0.88416,0.94498,1.28036,0.9388,0.975,0.97964,0.71971,1.08836,1.46722,1.28548,0.000911,0.000911,0.000911
46,325.619,0.81112,0.99321,1.21432,0.86194,1,0.97689,0.64407,1.20583,1.4008,1.37472,0.00088625,0.00088625,0.00088625
47,332.419,0.86582,0.88715,1.22012,0.7607,1,0.93068,0.63306,1.27205,1.2223,1.41333,0.0008615,0.0008615,0.0008615
48,339.355,0.81033,0.84225,1.15762,0.74627,1,0.92798,0.63641,1.25056,1.27516,1.30899,0.00083675,0.00083675,0.00083675
49,345.965,0.68023,0.82983,1.12747,0.74627,1,0.92798,0.63641,1.25056,1.27516,1.30899,0.000812,0.000812,0.000812
50,352.594,0.89782,0.97543,1.28947,0.97174,0.85967,0.9908,0.76063,1.04715,1.11141,1.0974,0.00078725,0.00078725,0.00078725
51,359.283,0.72495,0.8323,1.13578,0.96513,1,0.995,0.8272,0.75361,0.86043,0.88614,0.0007625,0.0007625,0.0007625
52,366.034,0.7525,0.85214,1.19991,0.98622,1,0.995,0.84392,0.5793,0.75987,0.78944,0.00073775,0.00073775,0.00073775
53,372.599,0.78503,0.85354,1.14551,0.98622,1,0.995,0.84392,0.5793,0.75987,0.78944,0.000713,0.000713,0.000713
54,379.3,0.71469,0.86769,1.12259,0.99307,1,0.995,0.88373,0.51093,0.76114,0.75353,0.00068825,0.00068825,0.00068825
55,386.04,0.82402,0.84777,1.18189,0.99519,1,0.995,0.88279,0.47077,0.75867,0.74075,0.0006635,0.0006635,0.0006635
56,392.738,0.72973,0.82869,1.13802,0.99694,1,0.995,0.90773,0.44782,0.73588,0.70447,0.00063875,0.00063875,0.00063875
57,399.376,0.66704,0.70992,1.06238,0.99694,1,0.995,0.90773,0.44782,0.73588,0.70447,0.000614,0.000614,0.000614
58,406.124,0.72093,0.74501,1.12404,0.99708,1,0.995,0.92384,0.40992,0.69565,0.67282,0.00058925,0.00058925,0.00058925
59,412.841,0.6579,0.71804,1.07764,0.9937,1,0.995,0.91761,0.44507,0.71812,0.68443,0.0005645,0.0005645,0.0005645
60,419.55,0.63725,0.69562,1.05021,0.99837,1,0.995,0.90791,0.47373,0.70072,0.71121,0.00053975,0.00053975,0.00053975
61,426.09,0.70596,0.85331,1.12394,0.99837,1,0.995,0.90791,0.47373,0.70072,0.71121,0.000515,0.000515,0.000515
62,432.68,0.66022,0.72646,1.0912,0.99788,1,0.995,0.90955,0.44191,0.65569,0.68329,0.00049025,0.00049025,0.00049025
63,439.444,0.78881,1.07696,1.18099,0.99784,1,0.995,0.92425,0.41069,0.64432,0.66768,0.0004655,0.0004655,0.0004655
64,446.666,0.6088,0.66472,1.04287,0.9972,1,0.995,0.919,0.3913,0.64,0.65016,0.00044075,0.00044075,0.00044075
65,453.288,0.59232,0.71368,1.05433,0.9972,1,0.995,0.919,0.3913,0.64,0.65016,0.000416,0.000416,0.000416
66,460.049,0.62185,0.72564,1.09611,0.99648,1,0.995,0.919,0.38018,0.62739,0.64055,0.00039125,0.00039125,0.00039125
67,466.751,0.62796,0.76428,1.05863,0.99593,1,0.995,0.91639,0.36072,0.6233,0.61977,0.0003665,0.0003665,0.0003665
68,473.395,0.71705,0.74787,1.12197,0.99732,1,0.995,0.94348,0.36312,0.5949,0.61419,0.00034175,0.00034175,0.00034175
69,480.016,0.64122,0.77759,1.07917,0.99732,1,0.995,0.94348,0.36312,0.5949,0.61419,0.000317,0.000317,0.000317
70,486.696,0.61388,0.65339,1.1002,0.99788,1,0.995,0.95292,0.36593,0.5793,0.61056,0.00029225,0.00029225,0.00029225
71,493.303,0.36431,0.98428,0.98791,0.9982,1,0.995,0.94333,0.35938,0.56447,0.61047,0.0002675,0.0002675,0.0002675
72,500.085,0.32971,0.9126,0.97678,0.99852,1,0.995,0.9445,0.35691,0.5558,0.6205,0.00024275,0.00024275,0.00024275
73,506.795,0.33694,0.83016,0.98997,0.99852,1,0.995,0.9445,0.35691,0.5558,0.6205,0.000218,0.000218,0.000218
74,513.378,0.29521,0.69654,0.93931,0.99855,1,0.995,0.9312,0.3576,0.56621,0.62702,0.00019325,0.00019325,0.00019325
75,519.968,0.40256,0.82114,0.97411,0.99853,1,0.995,0.90829,0.37695,0.56687,0.63733,0.0001685,0.0001685,0.0001685
76,526.544,0.27541,0.64801,0.95207,0.99845,1,0.995,0.91001,0.39849,0.57887,0.64249,0.00014375,0.00014375,0.00014375
77,533.113,0.31014,0.70765,0.9498,0.99845,1,0.995,0.91001,0.39849,0.57887,0.64249,0.000119,0.000119,0.000119
78,539.699,0.30002,0.63976,0.97183,0.9984,1,0.995,0.9123,0.3898,0.57421,0.6358,9.425e-05,9.425e-05,9.425e-05
79,546.292,0.30031,0.63394,0.91237,0.99843,1,0.995,0.91664,0.36726,0.5638,0.62354,6.95e-05,6.95e-05,6.95e-05
80,552.855,0.3064,0.62456,0.9241,0.99845,1,0.995,0.92613,0.34449,0.54825,0.60996,4.475e-05,4.475e-05,4.475e-05
